ST	clonal_complex	phylogroup	phylogroup_consistency	n_genomes	n_pks_pos	pks_fraction	n_clbS_pos
453	ST86_Cplx	B1	1.000	51	0	0.0000	0
454	NA	NA	NA	2	0	0.0000	0
457	NA	F	1.000	27	0	0.0000	0
459	NA	NA	NA	1	0	0.0000	1
469	ST469_Cplx	NA	NA	6	0	0.0000	0
472	NA	NA	NA	2	0	0.0000	0
477	ST226_Cplx	NA	NA	1	0	0.0000	0
479	ST278_Cplx	NA	NA	1	0	0.0000	0
480	ST467_Cplx	NA	NA	6	0	0.0000	0
484	ST168_Cplx	NA	NA	43	0	0.0000	0
485	NA	NA	NA	6	0	0.0000	0
491	NA	B2	1.000	44	0	0.0000	0
500	NA	B1	1.000	4	0	0.0000	0
501	NA	D	1.000	81	0	0.0000	0
504	NA	B2	1.000	65	0	0.0000	0
515	NA	NA	NA	12	0	0.0000	0
517	ST469_Cplx	B1	1.000	78	0	0.0000	0
522	ST522_Cplx	NA	NA	4	0	0.0000	0
526	NA	B2	1.000	3	0	0.0000	0
527	NA	NA	NA	1	0	0.0000	0
533	NA	A	1.000	8	0	0.0000	0
537	ST14_Cplx	B2	1.000	32	30	0.9375	30
538	ST538_Cplx	B2	1.000	74	1	0.0135	1
539	NA	B1	1.000	3	0	0.0000	0
540	NA	A	1.000	46	0	0.0000	0
541	ST522_Cplx	NA	NA	15	0	0.0000	0
542	NA	NA	NA	47	0	0.0000	0
543	NA	NA	NA	15	0	0.0000	0
544	ST12_Cplx	NA	NA	3	3	1.0000	3
547	NA	B2	1.000	4	0	0.0000	0
548	ST10_Cplx	NA	NA	7	0	0.0000	0
549	NA	NA	NA	4	0	0.0000	0
550	ST14_Cplx	B2	1.000	66	61	0.9242	61
555	ST538_Cplx	NA	NA	10	9	0.9000	9
567	NA	B2	1.000	17	0	0.0000	0
569	NA	B2	1.000	36	0	0.0000	0
582	ST582_Cplx	B2	1.000	29	0	0.0000	0
583	ST122_Cplx	B2	1.000	105	0	0.0000	0
584	ST582_Cplx	NA	NA	2	0	0.0000	0
589	NA	B2	1.000	21	0	0.0000	0
590	ST590_Cplx	B1	1.000	18	0	0.0000	0
599	ST12_Cplx	NA	NA	1	1	1.0000	1
602	ST446_Cplx	NA	NA	52	0	0.0000	0
603	NA	NA	NA	11	0	0.0000	0
607	NA	NA	NA	31	0	0.0000	0
609	ST46_Cplx	NA	NA	3	0	0.0000	0
616	ST155_Cplx	B1	1.000	25	0	0.0000	0
617	ST10_Cplx	A	1.000	60	0	0.0000	0
618	NA	F	1.000	8	0	0.0000	0
624	ST648_Cplx	F	1.000	12	0	0.0000	0
625	NA	B2	1.000	6	6	1.0000	6
628	ST245_Cplx	NA	NA	43	0	0.0000	0
630	ST245_Cplx	NA	NA	17	0	0.0000	0
631	ST245_Cplx	Shigella	1.000	67	0	0.0000	0
632	ST243_Cplx	NA	NA	2	0	0.0000	0
633	ST245_Cplx	NA	NA	2	0	0.0000	0
635	ST399_Cplx	NA	NA	10	0	0.0000	0
636	NA	NA	NA	35	0	0.0000	0
640	NA	B2	1.000	11	0	0.0000	0
641	ST86_Cplx	B1	1.000	93	1	0.0108	1
642	ST278_Cplx	NA	NA	40	0	0.0000	0
643	ST95_Cplx	B2	1.000	1	1	1.0000	1
645	NA	NA	NA	3	0	0.0000	0
646	NA	B2	1.000	23	14	0.6087	18
647	ST95_Cplx	NA	NA	4	0	0.0000	0
648	ST648_Cplx	F	1.000	186	0	0.0000	0
652	ST23_Cplx	A	1.000	5	0	0.0000	0
655	NA	B1	1.000	351	0	0.0000	0
656	ST10_Cplx	NA	NA	16	0	0.0000	8
657	NA	F	1.000	27	0	0.0000	0
658	NA	NA	NA	4	0	0.0000	0
659	NA	NA	NA	29	0	0.0000	0
660	NA	NA	NA	7	0	0.0000	0
661	NA	NA	NA	12	0	0.0000	0
662	NA	NA	NA	4	0	0.0000	0
665	NA	NA	NA	5	0	0.0000	0
666	NA	NA	NA	3	0	0.0000	0
667	NA	NA	NA	1	0	0.0000	0
672	NA	NA	NA	7	0	0.0000	0
675	NA	B1	1.000	74	0	0.0000	0
676	NA	B2	1.000	13	2	0.1538	2
677	NA	NA	NA	43	0	0.0000	0
678	NA	B1	1.000	92	0	0.0000	0
679	NA	NA	NA	8	0	0.0000	0
680	NA	B2	1.000	2	0	0.0000	0
681	NA	B2	1.000	37	17	0.4595	18
682	ST14_Cplx	NA	NA	29	0	0.0000	0
683	NA	NA	NA	3	0	0.0000	0
685	NA	NA	NA	17	0	0.0000	0
688	NA	NA	NA	2	0	0.0000	0
691	NA	F	1.000	23	0	0.0000	0
692	NA	NA	NA	2	0	0.0000	0
694	NA	NA	NA	2	0	0.0000	0
695	NA	NA	NA	3	0	0.0000	0
696	NA	NA	NA	2	0	0.0000	0
703	NA	B2	1.000	1	0	0.0000	0
706	NA	B2	1.000	19	13	0.6842	13
707	NA	NA	NA	2	0	0.0000	0
708	ST469_Cplx	NA	NA	6	0	0.0000	0
710	NA	NA	NA	2	0	0.0000	0
711	NA	B1	1.000	5	0	0.0000	0
713	NA	NA	NA	1	0	0.0000	0
714	NA	NA	NA	9	0	0.0000	0
716	NA	NA	NA	5	0	0.0000	0
718	NA	NA	NA	36	0	0.0000	0
720	NA	NA	NA	48	0	0.0000	0
722	NA	NA	NA	21	0	0.0000	0
723	ST29_Cplx	B1	1.000	112	0	0.0000	0
724	NA	NA	NA	3	0	0.0000	0
725	NA	B2	1.000	15	0	0.0000	0
728	NA	NA	NA	1	0	0.0000	0
731	NA	A	1.000	4	0	0.0000	0
737	NA	NA	NA	12	0	0.0000	0
738	NA	NA	NA	12	0	0.0000	1
744	NA	NA	NA	12	0	0.0000	0
745	NA	NA	NA	1	0	0.0000	0
746	NA	NA	NA	43	0	0.0000	0
747	NA	B1	1.000	53	0	0.0000	0
749	ST86_Cplx	NA	NA	1	0	0.0000	0
750	NA	A	1.000	12	0	0.0000	0
752	NA	NA	NA	38	0	0.0000	0
753	NA	NA	NA	9	0	0.0000	0
755	NA	NA	NA	2	0	0.0000	0
756	NA	NA	NA	1	0	0.0000	0
757	NA	NA	NA	8	0	0.0000	0
758	NA	NA	NA	1	0	0.0000	0
761	NA	NA	NA	3	0	0.0000	0
762	NA	NA	NA	1	0	0.0000	0
763	NA	NA	NA	2	0	0.0000	0
765	NA	NA	NA	6	0	0.0000	0
767	NA	B1	1.000	4	0	0.0000	0
770	NA	NA	NA	12	0	0.0000	0
773	NA	A	1.000	6	0	0.0000	0
778	ST38_Cplx	NA	NA	2	0	0.0000	0
783	NA	NA	NA	2	0	0.0000	0
788	NA	NA	NA	7	0	0.0000	0
793	ST206_Cplx	NA	NA	5	0	0.0000	0
795	ST278_Cplx	NA	NA	20	0	0.0000	0
800	NA	NA	NA	3	0	0.0000	0
803	NA	B2	1.000	3	0	0.0000	0
811	NA	B1	1.000	20	0	0.0000	0
827	ST12_Cplx	B2	1.000	8	4	0.5000	4
829	NA	B1	1.000	9	0	0.0000	0
846	NA	NA	NA	1	0	0.0000	0
847	NA	NA	NA	28	0	0.0000	0
871	NA	NA	NA	1	0	0.0000	0
877	ST86_Cplx	NA	NA	5	0	0.0000	0
898	NA	NA	NA	1	0	0.0000	0
906	NA	B1	1.000	122	0	0.0000	0
910	NA	NA	NA	1	0	0.0000	0
919	NA	NA	NA	15	0	0.0000	0
925	NA	NA	NA	2	0	0.0000	0
929	NA	B2	1.000	18	0	0.0000	0
937	NA	NA	NA	30	0	0.0000	0
938	NA	NA	NA	1	0	0.0000	0
939	NA	NA	NA	6	0	0.0000	0
940	ST448_Cplx	B1	1.000	43	0	0.0000	1
941	ST28_Cplx	NA	NA	1	0	0.0000	0
